Date,Title,YYYY,MM,DD,hh,mm,ss
2025-02-28T18:08:22Z,F-35B Has Flown With Meteor Long-Range Air-To-Air Missile,2025,2,28,18,8,22
2025-02-28T18:54:00Z,Jeffrey Epstein Files Released: Celebrities Named in His Contact Book,2025,2,28,18,54,0
2025-02-28T19:43:35Z,Zelenskyy breaks silence on social media after fiery Oval Office exchange with Trump: 'Thank you America',2025,2,28,19,43,35
2025-02-28T20:20:15Z,"'Invasive and delicious': The federal government is begging people to eat this massive, harmful rodent species",2025,2,28,20,20,15
2025-02-28T20:28:42Z,'Disgraceful' -- Trump-Zelensky row sparks US political firestorm,2025,2,28,20,28,42
2025-02-28T22:19:47Z,"No suit, no lunch, no respect: Zelenskyy-Trump feud started with a fashion dig",2025,2,28,22,19,47
2025-04-08T19:12:29Z,Woman gets 12 years in prison for shooting up Connecticut police department lobby,2025,4,8,19,12,29
2025-04-08T19:23:38Z,This Is the Biggest Bench Press Mistake We See. Here’s How to Fix It,2025,4,8,19,23,38
2025-04-08T19:34:53Z,Thousands of intimate images found in hacking investigation of former NFL and Michigan coach,2025,4,8,19,34,53
2025-04-08T21:06:00Z,Police Ask Public to Stop Spreading Misinformation About Track Death,2025,4,8,21,6,0
2025-04-08T21:45:39Z,"A Couple Ordered Pringles, a Coke and a Water on Their Flight. Then They Were Escorted Off the Plane by Police",2025,4,8,21,45,39
2025-04-08T22:14:16Z,Brawl involving 20-30 people breaks out at California In-N-Out,2025,4,8,22,14,16
2025-04-08T23:22:33Z,Former Nacogdoches ISD teacher given minimum sentence after sexual assault of student,2025,4,8,23,22,33
2025-04-08T23:44:25Z,Losing: MAGA bros lose millions as Trump's tariffs tank markets,2025,4,8,23,44,25
2025-04-09T00:33:00Z,Elon Musk gets more bad China news,2025,4,9,0,33,0
2025-04-09T02:30:14Z,Dave Ramsey Caller Asks If They Should Stop Contributing During Market Collapse — 'Ten Years From Now You Won't Even Remember This Crap',2025,4,9,2,30,14
2025-04-09T05:47:17Z,Two suspected drug traffickers arrested at a Northern California casino,2025,4,9,5,47,17
2025-04-09T09:40:00Z,"Everyone Who Could Have Stood Up to Donald Trump Has Failed. Except, Maybe, for the Most Unlikely One of All.",2025,4,9,9,40,0
2025-04-09T10:09:28Z,"Chevron to 'triple-frac' half of Permian oil wells in 2025 to cut costs, time",2025,4,9,10,9,28
2025-04-09T11:00:08Z,Stanford study makes surprising discovery about electric vehicle batteries — here's what it means for EV owners,2025,4,9,11,0,8
2025-04-09T11:31:11Z,China slaps restrictions on 18 US firms over Trump tariffs,2025,4,9,11,31,11
2025-04-09T12:00:00Z,A Construction Crew Was Renovating a Soccer Field—and Found the Bodies of 150 Ancient Roman Soldiers,2025,4,9,12,0,0
2025-04-09T12:10:49Z,A pipeline company filed hundreds of lawsuits against landowners. Now its project is threatened,2025,4,9,12,10,49
2025-04-09T13:08:52Z,Ukraine's military chief says new Russian offensive has begun,2025,4,9,13,8,52
2025-04-09T13:19:00Z,A Woman Went for a Casual Walk—and Accidentally Discovered a One-in-a-Million Treasure,2025,4,9,13,19,0
2025-04-09T15:00:00Z,"Cave discovery could rewrite 1,000 years of Mediterranean history",2025,4,9,15,0,0
2025-04-09T17:39:45Z,"That 'city-killer' asteroid has surprised scientists yet again with its 'unusual' shape, and it could smash straight into the moon",2025,4,9,17,39,45
2025-04-09T17:42:15Z,Chinese restaurant shut down after pigeons served as ‘roast duck’,2025,4,9,17,42,15
2025-04-09T17:52:29Z,“I want to tell you Donald Trump outsmarted the world but ...”: Fox Biz reporter pushes back on Trump tariff narrative.,2025,4,9,17,52,29
2025-04-09T18:10:11Z,I’m a cardiologist — this overprescribed drug taken by millions of people is toxic for your heart,2025,4,9,18,10,11
2025-04-09T18:49:00Z,Check Your Fridge—Major Brand Recalls Butter Due To 'Fecal Contamination',2025,4,9,18,49,0
2025-04-09T19:06:01Z,Where was the Garden of Eden located? Scientist makes shocking new claim,2025,4,9,19,6,1
2025-04-09T20:06:36Z,"Stock market today: Dow explodes 3,000 points higher, S&P 500 has best day since 2008 as Trump pauses most reciprocal tariffs",2025,4,9,20,6,36
2025-04-09T21:08:15Z,Cleanup underway of the Keystone oil pipeline spill in North Dakota,2025,4,9,21,8,15
2025-04-09T21:08:31Z,Argentine tegus are creeping their way into Georgia and Florida. Have you seen them?,2025,4,9,21,8,31
2025-04-09T21:37:07Z,"This Video Of Donald Trump Claiming Countries Are ""Kissing My A**"" Is Going Viral Because The Internet Can't Believe It's Real Life",2025,4,9,21,37,7
2025-04-09T22:49:17Z,Man dies after confronting shoplifters in L.A. parking lot,2025,4,9,22,49,17
2025-04-09T23:02:26Z,Trump's 'buy' tip on social media before his tariffs pause made money for investors who listened,2025,4,9,23,2,26
2025-04-09T23:14:00Z,Investigating rumor Trump will declare martial law on April 20 after invoking Insurrection Act of 1807,2025,4,9,23,14,0
2025-04-10T00:10:17Z,Republican-led House passes bill to limit nationwide orders from federal district judges,2025,4,10,0,10,17
2025-04-10T03:56:23Z,"Boise baseball coach, substitute teacher arrested on child sex abuse charge",2025,4,10,3,56,23
2025-04-10T08:15:00Z,Nvidia Stock Dropped 35% From Its High. History Says This Will Happen Next.,2025,4,10,8,15,0
2025-04-10T09:56:22Z,China warns against 'irresponsible' remarks after Kyiv claim on Chinese fighters,2025,4,10,9,56,22
2025-04-10T10:10:06Z,"Taliban morality enforcers arrest men for having the wrong hairstyle or skipping mosque, UN says",2025,4,10,10,10,6
2025-04-10T10:21:03Z,"The best electric cars - driven, rated and ranked",2025,4,10,10,21,3
2025-04-10T11:09:00Z,"A new ‘jackpotting’ scam has drained more than $236,000 from Texas ATMs — but who foots the loss?",2025,4,10,11,9,0
2025-04-10T11:19:52Z,“Resign or be fired” – APHA executive director calls out RFK Jr,2025,4,10,11,19,52
2025-04-10T13:52:32Z,Meeting with Trump ‘f-----g disastrous’ for Democrat presidential hopeful,2025,4,10,13,52,32
2025-04-10T13:56:30Z,‘Voracious’ cannibals help Australia fight invasive species,2025,4,10,13,56,30
2025-04-10T14:16:01Z,Jamie Dimon says Gen Z has no reason to be depressed—as long as there’s no nuclear war they’ll have an ‘unbelievable life’,2025,4,10,14,16,1
2025-04-10T15:00:35Z,"In rare sighting, 60 orcas attack the largest creature on the planet",2025,4,10,15,0,35
2025-04-10T15:41:48Z,Apple’s Steve Jobs dealt with the 2008 financial crisis not by layoffs or slimming spending but by investing his way through the downturn—and it paid off,2025,4,10,15,41,48
2025-04-10T16:57:10Z,The House passed a requirement to prove US citizenship to vote. This is how it could affect voting,2025,4,10,16,57,10
2025-04-10T17:06:41Z,"Restarting coal plants after Trump's executive orders makes no economic sense, report says",2025,4,10,17,6,41
2025-04-10T17:25:04Z,Egg prices soar to record high as DOJ investigates America's largest egg producer,2025,4,10,17,25,4
2025-04-10T17:37:08Z,"Pressed for evidence against Mahmoud Khalil, government cites its power to deport people for beliefs",2025,4,10,17,37,8
